date;Germany;US;Italy;France;India
2020-01-22;0;1;0;0;0
2020-01-23;0;1;0;0;0
2020-01-24;0;2;0;2;0
2020-01-25;0;2;0;3;0
2020-01-26;0;5;0;3;0
2020-01-27;1;5;0;3;0
2020-01-28;4;5;0;4;0
2020-01-29;4;5;0;5;0
2020-01-30;4;5;0;5;1
2020-01-31;5;7;2;5;1
2020-02-01;8;8;2;6;1
2020-02-02;10;8;2;6;2
2020-02-03;12;11;2;6;3
2020-02-04;12;11;2;6;3
2020-02-05;12;11;2;6;3
2020-02-06;12;11;2;6;3
2020-02-07;13;11;3;6;3
2020-02-08;13;11;3;11;3
2020-02-09;14;11;3;11;3
2020-02-10;14;11;3;11;3
2020-02-11;16;12;3;11;3
2020-02-12;16;12;3;11;3
2020-02-13;16;13;3;11;3
2020-02-14;16;13;3;11;3
2020-02-15;16;13;3;12;3
2020-02-16;16;13;3;12;3
2020-02-17;16;13;3;12;3
2020-02-18;16;13;3;12;3
2020-02-19;16;13;3;12;3
2020-02-20;16;13;3;12;3
2020-02-21;16;15;20;12;3
2020-02-22;16;15;62;12;3
2020-02-23;16;15;155;12;3
2020-02-24;16;15;229;12;3
2020-02-25;17;15;322;14;3
2020-02-26;27;15;453;18;3
2020-02-27;46;16;655;38;3
2020-02-28;48;16;888;57;3
2020-02-29;79;24;1128;100;3
2020-03-01;130;30;1694;130;3
2020-03-02;159;53;2036;191;5
2020-03-03;196;73;2502;204;5
2020-03-04;262;104;3089;288;28
2020-03-05;482;174;3858;380;30
2020-03-06;670;222;4636;656;31
2020-03-07;799;337;5883;959;34
2020-03-08;1040;451;7375;1136;39
2020-03-09;1176;519;9172;1219;43
2020-03-10;1457;711;10149;1794;56
2020-03-11;1908;1109;12462;2293;62
2020-03-12;2078;1561;15113;2293;73
2020-03-13;3675;2157;17660;3681;82
2020-03-14;4585;2870;21157;4496;102
2020-03-15;5795;2968;24747;4532;113
2020-03-16;7272;4360;27980;6683;119
2020-03-17;9257;6141;31506;7715;142
2020-03-18;12327;8917;35713;9124;156
2020-03-19;15320;14157;41035;10970;194
2020-03-20;19848;19479;47021;12758;244
2020-03-21;22213;25825;53578;14463;330
2020-03-22;24873;33761;59138;16243;396
2020-03-23;29056;43850;63927;20123;499
2020-03-24;32986;54112;69176;22622;536
2020-03-25;37323;66055;74386;25600;657
2020-03-26;43938;84091;80589;29551;727
2020-03-27;50871;102276;86498;33402;887
2020-03-28;57695;122069;92472;38105;987
2020-03-29;62095;141205;97689;40708;1024
2020-03-30;66885;162707;101739;45170;1251
2020-03-31;71808;188724;105792;52827;1397
2020-04-01;77872;214205;110574;57749;1998
2020-04-02;84794;244610;115242;59929;2543
2020-04-03;91159;276547;119827;65202;2567
2020-04-04;96092;309699;124632;69500;3082
2020-04-05;100123;337573;128948;71412;3588
2020-04-06;103374;367215;132547;75343;4778
2020-04-07;107663;397992;135586;79163;5311
2020-04-08;113296;429686;139422;83057;5916
2020-04-09;118181;464442;143626;87366;6725
2020-04-10;122171;497943;147577;91738;7598
2020-04-11;124908;527969;152271;94863;8446
2020-04-12;127854;556522;156363;121712;9205
2020-04-13;130072;581813;159516;125394;10453
2020-04-14;131359;608878;162488;130365;11487
2020-04-15;134753;637974;165155;133585;12322
2020-04-16;137698;669272;168941;146075;13430
2020-04-17;141397;701996;172434;148084;14352
2020-04-18;143342;730337;175925;148086;15722
2020-04-19;145184;756375;178972;153011;17615
2020-04-20;147065;783716;181228;155393;18539
2020-04-21;148291;809318;183957;158168;20080
2020-04-22;150648;837422;187327;155980;21370
2020-04-23;153129;871617;189973;158303;23077
2020-04-24;154999;907908;192994;159952;24530
2020-04-25;156513;940829;195351;161644;26283
2020-04-26;157770;968518;197675;162220;27890
2020-04-27;158758;990983;199414;165963;29451
2020-04-28;159912;1015518;201505;169053;31324
2020-04-29;161539;1043038;203591;166543;33062
2020-04-30;163009;1072667;205463;167299;34863
2020-05-01;164077;1106829;207428;167305;37257
2020-05-02;164967;1136024;209328;168518;39699
2020-05-03;165664;1161611;210717;168925;42505
2020-05-04;166152;1184086;211938;169583;46437
2020-05-05;167007;1208271;213013;170687;49400
2020-05-06;168162;1233527;214457;174224;52987
2020-05-07;169430;1261409;215858;174918;56351
2020-05-08;170588;1288587;217185;176202;59695
2020-05-09;171324;1314320;218268;176782;62808
2020-05-10;171879;1334084;219070;177094;67161
2020-05-11;172576;1352962;219814;177547;70768
2020-05-12;173171;1375152;221216;178349;74292
2020-05-13;174098;1396110;222104;178184;78055
2020-05-14;174478;1423727;223096;178994;81997
2020-05-15;175233;1449027;223885;179630;85784
2020-05-16;175752;1474128;224760;179630;90648
2020-05-17;176369;1493132;225435;179693;95698
2020-05-18;176551;1514901;225886;180051;100328
2020-05-19;177778;1535350;226699;180933;106475
2020-05-20;178473;1559157;227364;181700;112028
2020-05-21;179021;1584512;228006;181951;118226
2020-05-22;179710;1608653;228658;182354;124794
2020-05-23;179986;1630476;229327;182694;131423
2020-05-24;180328;1651289;229858;182709;138536
2020-05-25;180600;1670280;230158;183067;144950
2020-05-26;181200;1689163;230555;182847;150793
2020-05-27;181524;1707445;231139;183038;158086
2020-05-28;182196;1730260;231732;186364;165386
2020-05-29;182922;1754764;232248;186923;173491
2020-05-30;183189;1779214;232664;188752;181827
2020-05-31;183410;1799124;232997;189009;190609
2020-06-01;183594;1816479;233197;189348;198370
2020-06-02;183879;1837374;233515;188582;207191
2020-06-03;184121;1857332;233836;188934;216824
2020-06-04;184472;1878683;234013;189701;226713
2020-06-05;184924;1903907;234531;190312;236184
2020-06-06;185450;1926639;234801;190891;246622
2020-06-07;185750;1944370;234998;191234;257486
2020-06-08;186109;1961785;235278;191445;265928
2020-06-09;186506;1979912;235561;191849;276146
2020-06-10;186522;2000706;235763;192394;286605
2020-06-11;186691;2023656;236142;192819;297535
2020-06-12;187226;2048986;236305;193546;308993
2020-06-13;187267;2074542;236651;194072;320922
2020-06-14;187518;2094366;236989;194479;332424
2020-06-15;187682;2114026;237290;194631;343091
2020-06-16;188252;2137731;237500;194975;354065
2020-06-17;188604;2163290;237828;195433;366946
2020-06-18;189817;2191099;238159;195900;380532
2020-06-19;190299;2222579;238011;196711;395048
2020-06-20;190670;2255328;238275;197352;410451
2020-06-21;191272;2281767;238499;197636;425282
2020-06-22;191768;2312303;238720;198009;440215
2020-06-23;192480;2347491;238833;198526;456183
2020-06-24;192871;2382426;239410;198607;473105
2020-06-25;193371;2422299;239706;198607;490401
2020-06-26;194036;2467554;239961;200195;508953
2020-06-27;194458;2510259;240136;200195;528859
2020-06-28;194693;2549864;240310;199476;548318
2020-06-29;195042;2590668;240436;201522;566840
2020-06-30;195418;2636414;240578;202063;585481
2020-07-01;195893;2687588;240760;202981;604641
2020-07-02;196370;2742049;240961;203640;625544
2020-07-03;196780;2795361;241184;204222;648315
2020-07-04;197198;2841241;241419;204222;673165
2020-07-05;197523;2891124;241611;204222;697413
2020-07-06;198064;2936077;241819;205597;719664
2020-07-07;198343;2996098;241956;206072;742417
2020-07-08;198699;3054699;242149;206072;767296
2020-07-09;199001;3117946;242363;207356;793802
2020-07-10;199332;3185737;242639;208015;820916
2020-07-11;199709;3245925;242827;208015;849522
2020-07-12;199919;3304942;243061;208015;878254
2020-07-13;200180;3364157;243230;209640;906752
2020-07-14;200456;3431574;243344;209640;936181
2020-07-15;200890;3498902;243506;210568;968857
2020-07-16;201450;3576157;243736;211102;1003832
2020-07-17;202045;3647715;243967;211943;1039084
2020-07-18;202426;3711413;244216;211943;1077781
2020-07-19;202735;3773260;244434;211943;1118206
2020-07-20;203325;3834677;244624;214023;1155338
2020-07-21;203717;3899211;244752;214607;1193078
2020-07-22;204276;3970121;245032;215605;1238798
2020-07-23;204881;4038816;245338;216667;1288108
2020-07-24;205623;4112531;245590;217797;1337024
2020-07-25;206278;4178970;245864;217801;1385635
2020-07-26;206667;4233923;246118;217801;1435616
2020-07-27;207112;4290337;246286;220352;1480073
2020-07-28;207707;4356206;246488;221077;1531669
2020-07-29;208546;4426982;246776;221077;1581963
2020-07-30;209535;4495015;247158;222469;1634746
2020-07-31;210399;4562107;247537;225197;1695988
2020-08-01;211005;4620592;247832;225198;1750723
2020-08-02;211220;4668172;248070;225198;1803695
2020-08-03;212111;4713540;248229;225198;1855745
2020-08-04;212828;4771080;248419;228576;1908254
